"Buchungstag";"Umsatztag";"Vorgang";"Referenz";"Buchungstext";"Umsatz in EUR";
"31.05.2016";"31.05.2016";"Visa-Kartenabrechnung";"116053164473101";" SUMME MONATSABRECHNUNG VISA ";"476,00";
"31.05.2016";"30.05.2016";"Wechselgeld-Sparen";"116053164473001";" WECHSELGELD-SPARBETRAG ";"-0,63";
"31.05.2016";"30.05.2016";"Visa-Umsatz";"116053164472901";" ALDI SUED SAGT DANKE INGOLSTADT 000 ";"-20,37";
"30.05.2016";"28.05.2016";"Wechselgeld-Sparen";"116053061102701";" WECHSELGELD-SPARBETRAG ";"-0,45";
"30.05.2016";"28.05.2016";"Visa-Umsatz";"116053061102601";" DM-Drogerie Markt Ingolstadt 000 ";"-13,55";
"30.05.2016";"27.05.2016";"Wechselgeld-Sparen";"116053061102501";" WECHSELGELD-SPARBETRAG ";"-0,69";
"30.05.2016";"27.05.2016";"Visa-Umsatz";"116053061102401";" TANKSTELLE WESTPARK INGOLSTADT 000 ";"-20,31";
"26.05.2016";"25.05.2016";"Wechselgeld-Sparen";"116052634228501";" WECHSELGELD-SPARBETRAG ";"-0,64";
"26.05.2016";"25.05.2016";"Visa-Umsatz";"116052634228401";" Lidl Vertriebs GmbH & Co.Ingolstadt 000 ";"-33,36";
"24.05.2016";"23.05.2016";"Wechselgeld-Sparen";"116052436511201";" WECHSELGELD-SPARBETRAG ";"-0,90";
"24.05.2016";"23.05.2016";"Visa-Umsatz";"116052436511101";" EDEKA FANDERL INGOLSTADT 000 ";"-7,10";
"23.05.2016";"21.05.2016";"Wechselgeld-Sparen";"116052358909301";" WECHSELGELD-SPARBETRAG ";"-0,51";
"23.05.2016";"21.05.2016";"Visa-Umsatz";"116052358909201";" KAUFLAND INGOLSTADT INGOLSTADT 000 ";"-25,49";
"23.05.2016";"21.05.2016";"Wechselgeld-Sparen";"116052358909101";" WECHSELGELD-SPARBETRAG ";"-0,15";
"23.05.2016";"21.05.2016";"Visa-Umsatz";"116052358909001";" DM-Drogerie Markt Ingolstadt 000 ";"-5,85";
"23.05.2016";"20.05.2016";"Wechselgeld-Sparen";"116052358908901";" WECHSELGELD-SPARBETRAG ";"-0,27";
"23.05.2016";"20.05.2016";"Visa-Umsatz";"116052358908801";" ALDI SUED SAGT DANKE INGOLSTADT 000 ";"-4,73";
"20.05.2016";"19.05.2016";"Wechselgeld-Sparen";"116052037668601";" WECHSELGELD-SPARBETRAG ";"-0,13";
"20.05.2016";"19.05.2016";"Visa-Umsatz";"116052037668501";" EDEKA FANDERL INGOLSTADT 000 ";"-6,87";
"19.05.2016";"18.05.2016";"Wechselgeld-Sparen";"116051935862101";" WECHSELGELD-SPARBETRAG ";"-0,11";
"19.05.2016";"18.05.2016";"Visa-Umsatz";"116051935862001";" EDEKA-CENTER INGOLSTADT 000 ";"-2,89";
"19.05.2016";"18.05.2016";"Wechselgeld-Sparen";"116051935861901";" WECHSELGELD-SPARBETRAG ";"-0,47";
"19.05.2016";"18.05.2016";"Visa-Umsatz";"116051935861801";" ALDI SUED SAGT DANKE INGOLSTADT 000 ";"-12,53";
"18.05.2016";"17.05.2016";"Wechselgeld-Sparen";"116051837793301";" WECHSELGELD-SPARBETRAG ";"-0,01";
"18.05.2016";"17.05.2016";"Visa-Umsatz";"116051837793201";" EDEKA FANDERL INGOLSTADT 000 ";"-9,99";
"17.05.2016";"14.05.2016";"Wechselgeld-Sparen";"116051774117901";" WECHSELGELD-SPARBETRAG ";"-0,32";
"17.05.2016";"14.05.2016";"Visa-Umsatz";"116051774117801";" KAUFLAND INGOLSTADT INGOLSTADT 000 ";"-30,68";
"17.05.2016";"13.05.2016";"Wechselgeld-Sparen";"116051774117701";" WECHSELGELD-SPARBETRAG ";"-0,67";
"17.05.2016";"13.05.2016";"Visa-Umsatz";"116051774117601";" EDEKA FANDERL INGOLSTADT 000 ";"-9,33";
"12.05.2016";"11.05.2016";"Wechselgeld-Sparen";"116051233716701";" WECHSELGELD-SPARBETRAG ";"-0,25";
"12.05.2016";"11.05.2016";"Visa-Umsatz";"116051233716601";" ALDI SUED SAGT DANKE INGOLSTADT 000 ";"-4,75";
"11.05.2016";"10.05.2016";"Wechselgeld-Sparen";"116051137628401";" WECHSELGELD-SPARBETRAG ";"-0,44";
"11.05.2016";"10.05.2016";"Visa-Umsatz";"116051137628301";" Lidl Vertriebs GmbH & Co.Ingolstadt 000 ";"-26,56";
"10.05.2016";"09.05.2016";"Wechselgeld-Sparen";"116051036039901";" WECHSELGELD-SPARBETRAG ";"-0,72";
"10.05.2016";"09.05.2016";"Visa-Umsatz";"116051036039801";" EDEKA FANDERL INGOLSTADT 000 ";"-5,28";
"09.05.2016";"06.05.2016";"Wechselgeld-Sparen";"116050960666001";" WECHSELGELD-SPARBETRAG ";"-0,57";
"09.05.2016";"06.05.2016";"Visa-Umsatz";"116050960665901";" KAUFLAND INGOLSTADT INGOLSTADT 000 ";"-40,43";
"09.05.2016";"06.05.2016";"Wechselgeld-Sparen";"116050960665801";" WECHSELGELD-SPARBETRAG ";"-0,47";
"09.05.2016";"06.05.2016";"Visa-Umsatz";"116050960665701";" EDEKA FANDERL INGOLSTADT 000 ";"-11,53";
"09.05.2016";"06.05.2016";"Wechselgeld-Sparen";"116050960665601";" WECHSELGELD-SPARBETRAG ";"-0,15";
"09.05.2016";"06.05.2016";"Visa-Umsatz";"116050960665501";" MUELLER FIL. 1312 INGOLSTADT 000 ";"-35,85";
"06.05.2016";"04.05.2016";"Wechselgeld-Sparen";"116050649407101";" WECHSELGELD-SPARBETRAG ";"-0,04";
"06.05.2016";"04.05.2016";"Visa-Umsatz";"116050649407001";" EDEKA FANDERL INGOLSTADT 000 ";"-10,96";
"06.05.2016";"04.05.2016";"Wechselgeld-Sparen";"116050649406901";" WECHSELGELD-SPARBETRAG ";"-0,11";
"06.05.2016";"04.05.2016";"Visa-Umsatz";"116050649406801";" EDEKA FANDERL INGOLSTADT 000 ";"-2,89";
"04.05.2016";"03.05.2016";"Wechselgeld-Sparen";"116050435394001";" WECHSELGELD-SPARBETRAG ";"-0,25";
"04.05.2016";"03.05.2016";"Visa-Umsatz";"116050435393901";" Rossmann 2641 Ingolstadt 000 ";"-11,75";
"02.05.2016";"30.04.2016";"Wechselgeld-Sparen";"116050258897301";" WECHSELGELD-SPARBETRAG ";"-0,71";
"02.05.2016";"30.04.2016";"Visa-Umsatz";"116050258897201";" TANKSTELLE WESTPARK INGOLSTADT 000 ";"-25,29";
"02.05.2016";"30.04.2016";"Wechselgeld-Sparen";"116050258897101";" WECHSELGELD-SPARBETRAG ";"-0,55";
"02.05.2016";"30.04.2016";"Visa-Umsatz";"116050258897001";" ALDI SUED SAGT DANKE INGOLSTADT 000 ";"-16,45";
"02.05.2016";"30.04.2016";"Wechselgeld-Sparen";"116050258896901";" WECHSELGELD-SPARBETRAG ";"-0,35";
"02.05.2016";"30.04.2016";"Visa-Umsatz";"116050258896801";" DM-Drogerie Markt Ingolstadt 000 ";"-15,65";
"02.05.2016";"30.04.2016";"Wechselgeld-Sparen";"116050258896701";" WECHSELGELD-SPARBETRAG ";"-0,70";
"02.05.2016";"30.04.2016";"Visa-Umsatz";"116050258896601";" DM-Drogerie Markt Ingolstadt 000 ";"-54,30";




