"Buchungstag";"Umsatztag";"Vorgang";"Referenz";"Buchungstext";"Umsatz in EUR";
"29.01.2016";"29.01.2016";"Visa-Kartenabrechnung";"116012963008501";" SUMME MONATSABRECHNUNG VISA ";"151,00";
"29.01.2016";"28.01.2016";"Wechselgeld-Sparen";"116012963008401";" WECHSELGELD-SPARBETRAG ";"-0,71";
"29.01.2016";"28.01.2016";"Visa-Umsatz";"116012963008301";" REWE Markt Thomas Berges Cottbus 000 ";"-2,29";
"28.01.2016";"27.01.2016";"Visa-Umsatz";"116012832623901";" copy.worxx Cottbus 000 ";"-80,00";
"26.01.2016";"25.01.2016";"Wechselgeld-Sparen";"116012635216401";" WECHSELGELD-SPARBETRAG ";"-0,83";
"26.01.2016";"25.01.2016";"Visa-Umsatz";"116012635216301";" REWE Markt Thomas Berges Cottbus 000 ";"-7,17";
"25.01.2016";"23.01.2016";"Wechselgeld-Sparen";"116012557526001";" WECHSELGELD-SPARBETRAG ";"-0,29";
"25.01.2016";"23.01.2016";"Visa-Umsatz";"116012557525901";" ALDI 30051 COTTBUS 000 ";"-8,71";
"25.01.2016";"22.01.2016";"Wechselgeld-Sparen";"116012557525801";" WECHSELGELD-SPARBETRAG ";"-0,08";
"25.01.2016";"22.01.2016";"Visa-Umsatz";"116012557525701";" REWE Markt Thomas Berges Cottbus 000 ";"-3,92";
"21.01.2016";"20.01.2016";"Wechselgeld-Sparen";"116012132957201";" WECHSELGELD-SPARBETRAG ";"-0,64";
"21.01.2016";"20.01.2016";"Visa-Umsatz";"116012132957101";" REWE Markt Thomas Berges Cottbus 000 ";"-10,36";
"19.01.2016";"16.01.2016";"Wechselgeld-Sparen";"116011935419201";" WECHSELGELD-SPARBETRAG ";"-0,37";
"19.01.2016";"16.01.2016";"Visa-Umsatz";"116011935419101";" KAUFLAND COTTBUS COTTBUS 000 ";"-18,63";
"18.01.2016";"16.01.2016";"Wechselgeld-Sparen";"116011829270301";" WECHSELGELD-SPARBETRAG ";"-0,10";
"18.01.2016";"16.01.2016";"Visa-Umsatz";"116011829270201";" DEICHMANN Cottbus 1004 Cottbus 000 ";"-11,90";
"18.01.2016";"16.01.2016";"Wechselgeld-Sparen";"116011829270101";" WECHSELGELD-SPARBETRAG ";"-0,41";
"18.01.2016";"16.01.2016";"Visa-Umsatz";"116011829270001";" REWE Group Cottbus 000 ";"-2,59";
"18.01.2016";"15.01.2016";"Wechselgeld-Sparen";"116011829269901";" WECHSELGELD-SPARBETRAG ";"-0,51";
"18.01.2016";"15.01.2016";"Visa-Umsatz";"116011829269801";" REWE Group Cottbus 000 ";"-1,49";




