"Buchungstag";"Umsatztag";"Vorgang";"Referenz";"Buchungstext";"Umsatz in EUR";
"29.04.2016";"29.04.2016";"Visa-Kartenabrechnung";"116043018412901";" SUMME MONATSABRECHNUNG VISA ";"433,00";
"29.04.2016";"28.04.2016";"Wechselgeld-Sparen";"116043018412801";" WECHSELGELD-SPARBETRAG ";"-0,30";
"29.04.2016";"28.04.2016";"Visa-Umsatz";"116043018412701";" Lidl Vertriebs GmbH & Co.Ingolstadt 000 ";"-29,70";
"28.04.2016";"27.04.2016";"Wechselgeld-Sparen";"116042833144701";" WECHSELGELD-SPARBETRAG ";"-0,06";
"28.04.2016";"27.04.2016";"Visa-Umsatz";"116042833144601";" EDEKA FANDERL INGOLSTADT 000 ";"-5,94";
"27.04.2016";"26.04.2016";"Wechselgeld-Sparen";"116042733439001";" WECHSELGELD-SPARBETRAG ";"-0,21";
"27.04.2016";"26.04.2016";"Visa-Umsatz";"116042733438901";" EDEKA FANDERL INGOLSTADT 000 ";"-3,79";
"25.04.2016";"23.04.2016";"Wechselgeld-Sparen";"116042556841101";" WECHSELGELD-SPARBETRAG ";"-0,82";
"25.04.2016";"23.04.2016";"Visa-Umsatz";"116042556841001";" TANKSTELLE WESTPARK INGOLSTADT 000 ";"-21,18";
"25.04.2016";"22.04.2016";"Wechselgeld-Sparen";"116042556840901";" WECHSELGELD-SPARBETRAG ";"-0,41";
"25.04.2016";"22.04.2016";"Visa-Umsatz";"116042556840801";" Lidl Vertriebs GmbH & Co.Ingolstadt 000 ";"-27,59";
"19.04.2016";"18.04.2016";"Wechselgeld-Sparen";"116041936133801";" WECHSELGELD-SPARBETRAG ";"-0,58";
"19.04.2016";"18.04.2016";"Visa-Umsatz";"116041936133701";" ALDI SUED SAGT DANKE GAIMERSHEIM 000 ";"-13,42";
"18.04.2016";"16.04.2016";"Wechselgeld-Sparen";"116041859031601";" WECHSELGELD-SPARBETRAG ";"-0,20";
"18.04.2016";"16.04.2016";"Visa-Umsatz";"116041859031501";" KAUFLAND INGOLSTADT INGOLSTADT 000 ";"-29,80";
"14.04.2016";"13.04.2016";"Wechselgeld-Sparen";"116041432942901";" WECHSELGELD-SPARBETRAG ";"-0,70";
"14.04.2016";"13.04.2016";"Visa-Umsatz";"116041432942801";" EDEKA FANDERL INGOLSTADT 000 ";"-1,30";
"13.04.2016";"12.04.2016";"Wechselgeld-Sparen";"116041333152101";" WECHSELGELD-SPARBETRAG ";"-0,87";
"13.04.2016";"12.04.2016";"Visa-Umsatz";"116041333152001";" Lidl Vertriebs GmbH & Co.Ingolstadt 000 ";"-35,13";
"13.04.2016";"12.04.2016";"Wechselgeld-Sparen";"116041333151901";" WECHSELGELD-SPARBETRAG ";"-0,10";
"13.04.2016";"12.04.2016";"Visa-Umsatz";"116041333151801";" DM-Drogerie Markt Ingolstadt 000 ";"-3,90";
"11.04.2016";"08.04.2016";"Wechselgeld-Sparen";"116041157626601";" WECHSELGELD-SPARBETRAG ";"-0,63";
"11.04.2016";"08.04.2016";"Visa-Umsatz";"116041157626501";" ALDI SUED SAGT DANKE INGOLSTADT 000 ";"-2,37";
"11.04.2016";"08.04.2016";"Wechselgeld-Sparen";"116041157626401";" WECHSELGELD-SPARBETRAG ";"-0,16";
"11.04.2016";"08.04.2016";"Visa-Umsatz";"116041157626301";" LIDL VERTRIEBS GMBH INGOLSTADT 000 ";"-10,84";
"11.04.2016";"08.04.2016";"Wechselgeld-Sparen";"116041157626201";" WECHSELGELD-SPARBETRAG ";"-0,41";
"11.04.2016";"08.04.2016";"Visa-Umsatz";"116041157626101";" LIDL VERTRIEBS GMBH INGOLSTADT 000 ";"-2,59";
"11.04.2016";"08.04.2016";"Wechselgeld-Sparen";"116041157626001";" WECHSELGELD-SPARBETRAG ";"-0,06";
"11.04.2016";"08.04.2016";"Visa-Umsatz";"116041157625901";" Galeria Kaufhof 626 Ingolstadt 000 ";"-17,94";
"11.04.2016";"08.04.2016";"Wechselgeld-Sparen";"116041157625801";" WECHSELGELD-SPARBETRAG ";"-0,15";
"11.04.2016";"08.04.2016";"Visa-Umsatz";"116041157625701";" DM-Drogerie Markt Ingolstadt 000 ";"-13,85";
"08.04.2016";"07.04.2016";"Wechselgeld-Sparen";"116040835840001";" WECHSELGELD-SPARBETRAG ";"-0,96";
"08.04.2016";"07.04.2016";"Visa-Umsatz";"116040835839901";" EDEKA FANDERL INGOLSTADT 000 ";"-1,04";
"08.04.2016";"07.04.2016";"Wechselgeld-Sparen";"116040835839801";" WECHSELGELD-SPARBETRAG ";"-0,01";
"08.04.2016";"07.04.2016";"Visa-Umsatz";"116040835839701";" MUELLER FIL. 1312 INGOLSTADT 000 ";"-2,99";
"07.04.2016";"06.04.2016";"Wechselgeld-Sparen";"116040733800401";" WECHSELGELD-SPARBETRAG ";"-0,25";
"07.04.2016";"06.04.2016";"Visa-Umsatz";"116040733800301";" EDEKA FANDERL INGOLSTADT 000 ";"-9,75";
"07.04.2016";"06.04.2016";"Wechselgeld-Sparen";"116040733800201";" WECHSELGELD-SPARBETRAG ";"-0,30";
"07.04.2016";"06.04.2016";"Visa-Umsatz";"116040733800101";" IKEA Deutschland NL EchinEching 000 ";"-55,70";
"06.04.2016";"05.04.2016";"Wechselgeld-Sparen";"116040634494401";" WECHSELGELD-SPARBETRAG ";"-0,40";
"06.04.2016";"05.04.2016";"Visa-Umsatz";"116040634494301";" BAUHAUS 568 INGOLSTADT 000 ";"-15,60";
"05.04.2016";"04.04.2016";"Wechselgeld-Sparen";"116040535876801";" WECHSELGELD-SPARBETRAG ";"-0,74";
"05.04.2016";"04.04.2016";"Visa-Umsatz";"116040535876701";" TANKSTELLE WESTPARK INGOLSTADT 000 ";"-45,26";
"04.04.2016";"02.04.2016";"Wechselgeld-Sparen";"116040460370701";" WECHSELGELD-SPARBETRAG ";"-0,21";
"04.04.2016";"02.04.2016";"Visa-Umsatz";"116040460370601";" BURGER KING STORE INGOLSTADT 000 ";"-9,79";
"04.04.2016";"02.04.2016";"Wechselgeld-Sparen";"116040460370501";" WECHSELGELD-SPARBETRAG ";"-0,18";
"04.04.2016";"02.04.2016";"Visa-Umsatz";"116040460370401";" ALDI SUED SAGT DANKE INGOLSTADT 000 ";"-14,82";
"04.04.2016";"02.04.2016";"Wechselgeld-Sparen";"116040460370301";" WECHSELGELD-SPARBETRAG ";"-0,69";
"04.04.2016";"02.04.2016";"Visa-Umsatz";"116040460370201";" LIDL VERTRIEBS GMBH INGOLSTADT 000 ";"-20,31";
"04.04.2016";"02.04.2016";"Wechselgeld-Sparen";"116040460370101";" WECHSELGELD-SPARBETRAG ";"-0,30";
"04.04.2016";"02.04.2016";"Visa-Umsatz";"116040460370001";" DM-Drogerie Markt Ingolstadt 000 ";"-10,70";
"04.04.2016";"02.04.2016";"Wechselgeld-Sparen";"116040460369901";" WECHSELGELD-SPARBETRAG ";"-0,20";
"04.04.2016";"02.04.2016";"Visa-Umsatz";"116040460369801";" DM-Drogerie Markt Ingolstadt 000 ";"-7,80";
"01.04.2016";"31.03.2016";"Wechselgeld-Sparen";"116040136204301";" WECHSELGELD-SPARBETRAG ";"-0,65";
"01.04.2016";"31.03.2016";"Visa-Umsatz";"116040136204201";" EDEKA FANDERL INGOLSTADT 000 ";"-9,35";




